id,name,host_id,host_name,neighbourhood_group,neighbourhood,zipcode,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_month
4720648,Your home in Brooklyn,5325487,Ulla,,,11215,40.67138269,-73.97124887,Entire home/apt,125,3,0,,,1,145,201505
791121,Cozy Nook across from Prospect Park,4167859,Jake,,,11225,40.65853353,-73.96315724,Private room,64,14,0,,,1,365,201505
2430493,Hotel Room  Central Park view ,10003199,Udi,,,10019,40.76598759,-73.9768694,Entire home/apt,250,2,19,4/28/2015,1.5,3,331,201505
4596087,Lux Executive Loft in Meatpacking,4375102,Bill,,,10014,40.73911203,-74.01043542,Entire home/apt,400,7,2,4/4/2015,0.5,1,336,201505
837418,Quiet & Cozy Bedroom Near the Park,4376163,Lacy And Mac,,,10025,40.79326313,-73.96115004,Private room,110,3,37,4/6/2015,2.9,1,310,201505
2895430,Luxury Studio,14797010,Peter,,,10005,40.70359488,-74.01790565,Entire home/apt,199,3,6,10/1/2014,0.5,1,209,201505
738516,West Side Charm - Central Park!,3859910,Cindy,,,10023,40.77041081,-73.97370469,Entire home/apt,199,2,47,4/13/2015,1.7,1,239,201505
5258827,Private Room on Central Park!,26945822,Marissa,,,10025,40.79576806,-73.96041167,Private room,80,1,0,,,2,365,201505
2454713,"Sunny, Spacious 1BR apt- City views",9166868,Tom And Anna,,,11211,40.71302664,-73.96890453,Entire home/apt,210,2,18,4/28/2015,1.4,1,102,201505
4119780,Cozy Apartment in Doorman Building,21372033,Anita,,,10451,40.82519996,-73.80989728,Entire home/apt,115,5,1,10/1/2014,0.1,1,340,201505
4798563,Panoramic Manhattan view - New 1 BR,12622512,André,,,11109,40.7489279,-73.95623086,Entire home/apt,200,3,0,,,1,116,201505
830696,Best room closed to Central Park ,4350664,Denia,,,10029,40.78864174,-73.93692374,Private room,95,6,32,10/10/2014,1.1,1,339,201505
660619,UWS studio with private patio!,1490958,Wes,,,10024,40.78837425,-73.98693698,Entire home/apt,149,1,28,12/28/2014,0.9,1,0,201505
1251561,Stylish 1br - walk to Times Square,6819118,Reid,,,10019,40.77105085,-73.99882586,Entire home/apt,195,1,17,1/4/2015,0.8,1,84,201505
