id,name,host_id,host_name,neighbourhood_group,neighbourhood,zipcode,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_month
16179103,1 bedroom in Astoria near Manhattan,24825969,Tony,Queens,Ditmars Steinway,11105,40.78208143,-73.91487001,Private room,60,1,0,,,2,365,201702
7859360,Cozy and Private Room in Heart of Astoria,27289814,Raheem,Queens,Ditmars Steinway,11105,40.77601315,-73.91724243,Private room,50,1,35,1/17/2017,1.96,1,334,201702
5041360,"Room in Astoria, 5 min ",26027833,Giacomo,Queens,Ditmars Steinway,11105,40.77135569,-73.91192382,Private room,40,1,0,,,1,0,201702
5565638,1 Bedroom in Astoria with Backyard,28855191,Christy,Queens,Ditmars Steinway,11105,40.77272654,-73.90518206,Private room,65,1,28,11/9/2016,2.56,1,344,201702
13040683,Airy livingroom in quiet restaurant neighborhood !,28868609,John,Queens,Ditmars Steinway,11105,40.77329946,-73.90222942,Shared room,100,1,1,5/23/2016,0.12,1,0,201702
14215061,Cozy Room in Astoria,75480489,Ramazan,Queens,Ditmars Steinway,11105,40.76956013,-73.90014277,Private room,70,3,3,9/19/2016,0.59,1,364,201702
2745620,Small Room Astoria20minToManhattan,1172202,Funda,Queens,Ditmars Steinway,11105,40.7692997,-73.90856342,Private room,55,1,66,1/18/2017,1.96,6,128,201702
13427702,Cozy Room for 2 in Astoria!,11791633,Neel,Queens,Ditmars Steinway,11102,40.77264332,-73.91618403,Private room,65,1,1,7/13/2016,0.15,1,0,201702
6611592,Modern 2 bedroom apt-great location,4124666,Rafik,Queens,Ditmars Steinway,11105,40.77237655,-73.90680566,Entire home/apt,180,4,36,1/4/2017,3.16,1,42,201702
6677008,Comfy Room for A Good Rest,34947039,Ginn,Queens,Ditmars Steinway,11105,40.77894534,-73.90298122,Private room,52,5,1,6/7/2015,0.05,1,0,201702
13821062,Private room in the heart of Astoria,81246231,Claudia,Queens,Ditmars Steinway,11105,40.7723556,-73.91421386,Private room,90,1,6,1/2/2017,1.18,3,365,201702
14788009,Chris' Cozy Cave!,69029231,Chris,Queens,Ditmars Steinway,11105,40.78097631,-73.90877158,Entire home/apt,85,2,7,1/5/2017,1.48,1,176,201702
2745140,Astoria Room 20 min To Manhattan,1172202,Funda,Queens,Ditmars Steinway,11105,40.76980912,-73.90715986,Private room,60,1,77,12/31/2016,2.34,6,158,201702
6480685,"Cozy,  single bed room.15min to NYC",24597265,Freda,Queens,Ditmars Steinway,11105,40.77104175,-73.91017914,Private room,50,6,14,1/4/2017,0.8,8,365,201702
